,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
25210,$1 And A Follow,painting,art,18/08/2014,19/07/2014,failed,0,1,30,2014,Q2,NA
19541,A Personal Thank-You (Canceled),art,art,13/03/2015,11/02/2015,canceled,0,1,30,2015,Q2,NA
4520,Antipledge,performance art,art,01/04/2010,09/01/2010,failed,0,1,82,2010,Q4,NA
17625,Chesterfield Sculpture Project,sculpture,art,02/09/2011,10/07/2011,canceled,0,1,54,2011,Q4,NA
20433,Free Food for the Starving Artists!,art,art,08/09/2014,25/08/2014,failed,0,1,14,2014,Q1,NA
26212,I will send you a selfie so you have a selfie of me.,performance art,art,30/05/2015,30/04/2015,failed,0,1,30,2015,Q2,NA
24946,Springfield Hemp Fest,performance art,art,22/08/2011,28/06/2011,failed,0,1,55,2011,Q4,NA
16388,The Guide to Being unsuccessful,art,art,02/05/2015,03/03/2015,failed,0,1,60,2015,Q4,NA
7080,Titanic Tiles and Documentary (Canceled),mixed media,art,23/02/2012,21/02/2012,canceled,0,1,2,2012,Q1,NA
4336,COMFORT ZONE COMIC,conceptual art,art,04/06/2017,05/04/2017,failed,0,1.28,60,2017,Q4,NA
6509,A unique take on chinese/Japanese ink paintings,art,art,28/10/2015,13/10/2015,failed,0,1.53,15,2015,Q1,NA
24573,PaintPortrait,art,art,26/12/2014,26/11/2014,failed,0,1.54,30,2014,Q2,NA
7260,Crayonativity,art,art,28/06/2015,29/05/2015,failed,0,3.12,30,2015,Q2,NA
3378,I want to learn how to draw a cat (Canceled),art,art,10/08/2014,11/07/2014,canceled,0,5,30,2014,Q2,NA
5821,Unreasonable Project - Forrest of Sexual Characteristics,painting,art,05/01/2016,06/11/2015,failed,0,5.43,60,2015,Q4,NA
27359,"""Llama-nator""",art,art,22/11/2015,23/10/2015,failed,0,7.49,30,2015,Q2,NA
7021,Youtube Channel Art!,digital art,art,28/07/2015,28/06/2015,failed,0,7.79,30,2015,Q2,NA
17249,3D Origami,art,art,10/10/2014,10/09/2014,failed,0,8.93,30,2014,Q2,NA
25980,Drawing some stick peeps,digital art,art,08/08/2014,09/07/2014,failed,0,9.16,30,2014,Q2,NA
16030,A Winter's Dream: Art for you! (Canceled),illustration,art,04/03/2016,19/02/2016,canceled,0,10,14,2016,Q1,NA
25290,Bully: Simulated Abuse,art,art,22/11/2015,23/10/2015,failed,0,10,30,2015,Q2,NA
9500,Defiling the odds,art,art,06/05/2015,06/04/2015,failed,0,10,30,2015,Q2,NA
11808,Drawing Pictures (Canceled),art,art,18/04/2015,19/03/2015,canceled,0,10,30,2015,Q2,NA
2660,Grilled Cheese Sammich,art,art,11/08/2014,12/07/2014,failed,0,10,30,2014,Q2,NA
7679,Misanthropes unite.,art,art,14/11/2014,15/10/2014,failed,0,10,30,2014,Q2,NA
935,Monet redheaded stepchild,art,art,27/09/2014,28/08/2014,failed,0,10,30,2014,Q2,NA
26819,Origami Multicolor Star,art,art,08/09/2016,09/08/2016,failed,0,10,30,2016,Q2,NA
6092,Origami Sunflower,art,art,31/07/2016,01/07/2016,failed,0,10,30,2016,Q2,NA
22967,Social Fonts,digital art,art,29/09/2014,24/08/2014,failed,0,10.73,36,2014,Q3,NA
20979,A Quest Towards Enlightenment :-),art,art,11/11/2014,12/09/2014,failed,0,11,60,2014,Q4,NA
17515,Pasta Shell Cat Picture Frame,mixed media,art,19/04/2015,20/03/2015,failed,0,12,30,2015,Q2,NA
25252,"Your City, Your Colors",digital art,art,03/10/2014,04/08/2014,failed,0,12,60,2014,Q4,NA
16993,Fireworks show video,video art,art,20/12/2014,11/12/2014,failed,0,12.22,9,2014,Q1,NA
26068,Best Stick Figure Ever,art,art,17/10/2014,17/09/2014,failed,0,12.82,30,2014,Q2,NA
