,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
2967,- Daydream Girls Album -,graphic novels,comics,11/08/2015,16/07/2015,failed,196,1200,26,2015,Q2,NA
1558,-- kloon --,comics,comics,13/08/2013,10/07/2013,successful,37192.55,33600,34,2013,Q3,0.106921131
10630,! Bring Odessa a Comic Book/ Book Shop!,comics,comics,16/07/2017,17/05/2017,failed,3,15000,60,2017,Q4,NA
1737,""" concepting FERNEN lands"" art book.",comics,comics,06/04/2014,07/03/2014,failed,25,2000,30,2014,Q2,NA
11,""" The Patch, Organics """,comics,comics,23/12/2014,23/11/2014,failed,50,65000,30,2014,Q2,NA
5851,"""1888"" Victorian Horror Graphic Novel",comics,comics,24/05/2010,25/03/2010,successful,6928,6000,60,2010,Q4,0.154666667
2762,"""2084""ô  3D Graphic Novel App",comics,comics,10/10/2012,12/09/2012,failed,377,34000,28,2012,Q2,NA
9494,"""41"" A New Indie Comic by Bob Frantz",comics,comics,18/07/2010,02/06/2010,successful,2581,2000,46,2010,Q4,0.2905
5960,"""418"" Print Edition",graphic novels,comics,17/03/2016,24/02/2016,successful,1106,1000,22,2016,Q2,0.106
7411,"""A Cinderella Strory""",graphic novels,comics,01/03/2016,23/01/2016,failed,106,5000,38,2016,Q3,NA
6741,"""A Single Day And Night of Misfortune""-A Graphic Novel",graphic novels,comics,16/07/2014,19/06/2014,failed,90,3000,27,2014,Q2,NA
3798,"""ADVENTURES in HOTTIEWOOD""",comics,comics,12/04/2013,13/03/2013,failed,2186,34900,30,2013,Q2,NA
1317,"""All I Wanted To Do Was Take Over The World..."" Volume 1",graphic novels,comics,19/06/2015,20/05/2015,failed,211.88,1222.39,30,2015,Q2,NA
5785,"""AMERICAN DREAMS / MARVELOUS"" Dual Kickstarter",comic books,comics,22/08/2017,18/07/2017,successful,5619,4200,35,2017,Q3,0.337857143
1309,"""Amy in the Spring of 1990"" ( a true but short comic story)",comics,comics,16/11/2010,17/09/2010,successful,888,600,60,2010,Q4,0.48
3889,"""ANGELMAN AND ANGELWOMAN""~New Comic Book Grafic Novel~",comics,comics,01/10/2012,22/08/2012,failed,75,11500,40,2012,Q3,NA
7813,"""ANIMAL KINGDOM""",comics,comics,09/10/2012,09/09/2012,successful,2217,2000,30,2012,Q2,0.1085
2569,"""Anime News Nina!"" - The Complete Collection",comics,comics,17/01/2014,18/12/2013,successful,27740.86,7500,30,2013,Q2,2.698781333
2881,"""Annihilation Day"" (The Graphic Novel) By @4thWallPros",graphic novels,comics,26/11/2016,25/10/2016,failed,2521,5000,32,2016,Q3,NA
7796,"""Anyone But Virginia #5""- the VOLCANO GIRL comic!",comics,comics,04/04/2011,17/02/2011,successful,1027,720,46,2011,Q4,0.426388889
3280,"""Armor""",graphic novels,comics,06/08/2014,07/07/2014,failed,85,3000,30,2014,Q2,NA
3621,"""Ashes"" by Chris Bell and Bill Giancoli",comics,comics,23/12/2013,23/11/2013,successful,1003.56,700,30,2013,Q2,0.433657143
4212,"""Believer"" - An Indie Comic Mini-Series",comics,comics,20/02/2012,06/01/2012,failed,1661,5000,45,2012,Q3,NA
1398,"""BEN""  (Volume One, softcover, 110 pages)",comics,comics,27/10/2013,27/09/2013,successful,5781.15,5370.67,30,2013,Q2,0.076429943
3781,"""BLACK EYE"" The Comics Anthology of Dark Humor",anthologies,comics,04/03/2011,02/02/2011,successful,3054.02,2500,30,2011,Q2,0.221608
9318,"""BOUNDEAD"" Issue #1",comics,comics,06/03/2015,02/02/2015,successful,4049,2000,32,2015,Q3,1.0245
7399,"""Brain Donor Digest"" -1st Limited Edition Ashcan (minicomic)",comics,comics,16/10/2012,19/09/2012,failed,25,9995,27,2012,Q2,NA
9174,"""Broken Plot Device"" T-Shirt Preorders!",comics,comics,08/03/2012,16/02/2012,successful,6116.66,5000,21,2012,Q2,0.223332
2900,"""By and By"" Webcomic",webcomics,comics,09/03/2016,08/02/2016,failed,143,850,30,2016,Q2,NA
4506,"""Cap Waters, Tattooist"" Graphic Novel Series",comics,comics,04/05/2012,19/03/2012,failed,10,65000,46,2012,Q4,NA
5149,"""Cat Fight"" epic Elf magic fantasy adventure manga comic",comics,comics,30/03/2014,13/02/2014,canceled,0,3000,45,2014,Q3,NA
728,"""Charlie"" A Manga based on Norse Mythology",comic books,comics,28/09/2017,06/08/2017,failed,216,5902.98,53,2017,Q4,NA
7452,"""Comic Relief: The Art of Chris Copeland""",comics,comics,10/07/2013,10/06/2013,successful,15130,13500,30,2013,Q2,0.120740741
9169,"""Comics Forge Presents"" Supporting Indy Comics",comics,comics,27/05/2012,27/04/2012,failed,250,10000,30,2012,Q2,NA
4820,"""Crack Dog"" Graffic Novel",comics,comics,22/12/2010,23/09/2010,failed,0,7000,90,2010,Q4,NA
2877,"""Creek"" comic-strip's first compilation publication!!!",comics,comics,09/12/2011,09/11/2011,successful,2335,2000,30,2011,Q2,0.1675
12135,"""Crystal.klar"" Grafic Novel Comic Exjunkie Dominik Forster",graphic novels,comics,11/01/2019,12/12/2018,successful,7231.852451,3967.90758,30,2018,Q2,0.822585911
6955,"""dadoodlydude"" Productions (Cartooning Company)",comic books,comics,13/06/2016,14/04/2016,failed,120,10000,60,2016,Q4,NA
11571,"""Danger Cat"" #1",comic books,comics,01/12/2018,01/11/2018,successful,3968,3000,30,2018,Q2,0.322666667
