,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
7234,"""A Happy Healthy Living with Soap!""",crafts,crafts,15/05/2016,15/04/2016,failed,2,1500,30,2016,Q2,NA
5232,"""Boats and Bonding""",crafts,crafts,10/08/2014,11/07/2014,failed,2,2600,30,2014,Q2,NA
6776,"""Bring Home The Coast"" - Seawicks 100% Soy Candles",crafts,crafts,27/09/2012,28/08/2012,failed,260,15000,30,2012,Q2,NA
7419,"""Build the shop for love and life"" (Canceled)",crafts,crafts,12/01/2014,13/12/2013,canceled,0,22791.5,30,2013,Q2,NA
3254,"""Build-A-Bath""  Your Way Developed by: Studio X D*V.A.S. LLC",diy,crafts,09/08/2014,09/07/2014,failed,0,6300,31,2014,Q3,NA
623,"""C R A F T O P I A"": Fresno's ultimate crafting destination!",crafts,crafts,01/10/2012,30/08/2012,failed,2355.66,6800,32,2012,Q3,NA
707,"""Chesu-shi"" the Handmade Origami Chess Set",crafts,crafts,11/12/2014,11/11/2014,failed,40,250,30,2014,Q2,NA
8713,"""CoCoRiCo"" MarchÈ de CrÈateurs ....100% Made in FRANCE.....",diy,crafts,22/11/2017,08/10/2017,successful,586.64514,566.84394,45,2017,Q3,0.034932366
1144,"""CoCoRiCo"" MarchÈ de CrÈateurs ....100% Made in FRANCE.....",diy,crafts,22/11/2017,08/10/2017,successful,593.85,593.85,45,2017,Q3,0
962,"""Cuddle Up Comfort Creatures"" to help in times of sadness",crochet,crafts,16/08/2014,17/07/2014,successful,275,275,30,2014,Q2,0
7986,"""Curly Top"" wants to meet the children of the world!",crafts,crafts,25/05/2013,25/04/2013,failed,5,4000,30,2013,Q2,NA
968,"""Desiroar"" Official Plush Mascot for Roar Apparel",crafts,crafts,07/03/2014,05/02/2014,failed,30,8700,30,2014,Q2,NA
2592,"""Everybody Needs Their Own Angel""",crafts,crafts,06/08/2016,07/07/2016,failed,50,5000,30,2016,Q2,NA
7395,"""Eye Rock"" Mineral Jewelry Company",crafts,crafts,29/08/2014,30/07/2014,failed,36,500,30,2014,Q2,NA
2013,"""Florida is Flat"" Hiking Patches",embroidery,crafts,17/08/2017,18/07/2017,failed,80,300,30,2017,Q2,NA
2209,"""FLOWERS"" 3rd book Shellcrafting in the 21st Century Series",crafts,crafts,06/09/2013,07/08/2013,failed,125,2400,30,2013,Q2,NA
3,"""Flying"" Carpets from Azerbaijan, Iran and Turkey/Anatolia",weaving,crafts,29/04/2015,30/03/2015,failed,3.09,7716.41,30,2015,Q2,NA
