,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
3131,"""...unwanted"" a new dance piece by colectivodoszeta",dance,dance,28/08/2011,27/07/2011,successful,3600,3500,32,2011,Q3,0.028571429
1203,"""49th Street and Other Stories"", a new dance play.",dance,dance,17/10/2011,17/09/2011,successful,5895,4875,30,2011,Q2,0.209230769
1557,"""A Celebration of Life"" dance rehearsals and performances",dance,dance,30/12/2012,30/11/2012,failed,25,10000,30,2012,Q2,NA
3660,"""A Midsummer Night's Dream"" - dance, music & theater",dance,dance,09/06/2012,10/05/2012,failed,0,1500,30,2012,Q2,NA
3767,"""Again, but this time with feeling""",performances,dance,16/05/2018,16/04/2018,successful,8000,8000,30,2018,Q2,0
2420,"""Alice in Wonderland"" A Contemporary Ballet",dance,dance,01/03/2013,24/01/2013,successful,1211,800,36,2013,Q3,0.51375
642,"""Ampey!"", growing a movement in dance, music and theater from the African Diaspora.",dance,dance,12/12/2010,13/09/2010,successful,6779,6500,90,2010,Q4,0.042923077
859,"""An Inner Place That Has No Place"" goes on tour!",dance,dance,27/02/2013,01/02/2013,successful,4096,2800,26,2013,Q2,0.462857143
2389,"""Art of"" Dance project supported by William Forsythe-France.",workshops,dance,25/08/2017,13/07/2017,canceled,86,1550,43,2017,Q3,NA
2821,"""ASCENDance"" brings object, movement & light to life!",dance,dance,10/04/2013,01/03/2013,successful,7086,6500,40,2013,Q3,0.090153846
2631,"""Ascension"" - A Graduate School Thesis Dance Performance",dance,dance,03/11/2013,16/10/2013,failed,610,2000,18,2013,Q2,NA
3507,"""Back to the Place I First Left You""",dance,dance,11/09/2011,12/08/2011,successful,2450,2000,30,2011,Q2,0.225
1061,"""Bearing Fruit""",dance,dance,03/11/2011,04/10/2011,successful,1550,1500,30,2011,Q2,0.033333333
449,"""Being all of myself"" in Scotland with Deborah Hay",dance,dance,07/03/2012,06/02/2012,successful,2221,2000,30,2012,Q2,0.1105
3314,"""Bind"" by Ashley Lindsey Dance at the REVERB Dance Festival",dance,dance,25/02/2014,13/01/2014,successful,3439,3000,43,2014,Q3,0.146333333
3737,"""BOYS ARE"" live on stage.",performances,dance,10/12/2018,12/11/2018,successful,1611,1500,28,2018,Q2,0.074
1619,"""Braxon Vs. Oregon"" - ENTITY Contemporary Dance",performances,dance,07/11/2014,08/09/2014,successful,10713,10000,60,2014,Q4,0.0713
3334,"""Braxon Vs. Oregon"" San Francisco Premiere",performances,dance,10/10/2015,11/08/2015,successful,5106,5000,60,2015,Q4,0.0212
420,"""Celebration of Life""",dance,dance,03/04/2014,04/03/2014,failed,152,3000,30,2014,Q2,NA
2755,"""courage,"" a dance work with stone flute by Kazuya Yokozawa",dance,dance,16/06/2012,07/05/2012,successful,1489,1300,40,2012,Q3,0.145384615
2048,"""Covetous"" for Miami Open Stage",performances,dance,02/03/2015,18/02/2015,successful,950,750,12,2015,Q1,0.266666667
44,"""creature"" an original dance opera for the digital age",dance,dance,14/12/2013,05/11/2013,successful,10287,10000,39,2013,Q3,0.0287
3168,"""Dance In The Park"" 2012 with Dancing People Company",dance,dance,02/07/2012,04/06/2012,successful,3007,3000,28,2012,Q2,0.002333333
234,"""DANCE WITH MARIANNE""- Ballroom Dancing Quick Kit",dance,dance,16/01/2012,17/11/2011,failed,3931,23890,60,2011,Q4,NA
1841,"""DDF"" (DANCE DRUG FREE) Teen dance against drug use!!",dance,dance,24/05/2014,24/04/2014,failed,106,10000,30,2014,Q2,NA
3189,"""Dead/Alive"" - Dance for people who are not quite dead yet.",dance,dance,22/07/2012,29/06/2012,failed,410,2500,23,2012,Q2,NA
104,"""Dirty Filthy Diamonds""--by DGDG",dance,dance,14/02/2014,15/01/2014,successful,3341,3000,30,2014,Q2,0.113666667
1886,"""Elizabeth"" // a dance on film",dance,dance,29/10/2012,29/09/2012,successful,2507,2500,30,2012,Q2,0.0028
25,"""Exit Disclaimer: Science and Fiction Ahead""",dance,dance,30/09/2012,31/08/2012,successful,5275,5000,30,2012,Q2,0.055
1184,"""Faces of the Sun"" by Avant Chamber Ballet",dance,dance,11/05/2013,11/04/2013,successful,3250,3000,30,2013,Q2,0.083333333
1328,"""Fall More""",dance,dance,30/09/2013,10/09/2013,successful,1108,1100,20,2013,Q2,0.007272727
1062,"""Fault Line,"" premieres in New York and Europe by BodyStories/Teresa Fellion Dance!",dance,dance,01/09/2010,30/06/2010,failed,590,3000,63,2010,Q4,NA
3687,"""Flowers: All a Woman's Body"" from the hills to the theater!",dance,dance,07/08/2012,03/07/2012,successful,2419,2300,35,2012,Q3,0.05173913
92,"""Fly- an iMEE -Artist"" Campaign!",dance,dance,23/07/2011,23/06/2011,successful,5290,3500,30,2011,Q2,0.511428571
1871,"""For They Are Women's Children"": 1913 Strike Dance-Drama",dance,dance,16/10/2013,16/09/2013,failed,1095,4000,30,2013,Q2,NA
3798,"""Forging Distinction"": A Triple Bill Dance Performance",performances,dance,11/03/2018,10/01/2018,successful,2141,1250,60,2018,Q4,0.7128
952,"""Get Up and Go""",dance,dance,25/06/2010,15/06/2010,successful,620,600,10,2010,Q1,0.033333333
2578,"""Gorana Jr."" Bulgarian Dance Ensemble to perform in Chicago",performances,dance,09/03/2015,07/02/2015,successful,2025,2000,30,2015,Q2,0.0125
1178,"""grass and jackals""",dance,dance,29/01/2013,31/12/2012,successful,18258,18000,29,2012,Q2,0.014333333
629,"""Halloween: Henry, Saddara & the Neighborhood""",performances,dance,31/10/2014,14/10/2014,successful,1221,1200,17,2014,Q2,0.0175
349,"""Heavy is Good, Dead is Tender"" at The A.W.A.R.D. Show!",dance,dance,21/04/2011,21/03/2011,successful,2500,2500,31,2011,Q3,0
205,"""Home""- A Metropolitan Drama with Afromoda Dance Theater",performances,dance,19/07/2014,23/06/2014,canceled,1285,6000,26,2014,Q2,NA
401,"""Hush"": An Old Dance Piece Made Anew for Chicago",dance,dance,21/05/2013,17/04/2013,successful,1531,1100,34,2013,Q3,0.391818182
1238,"""I Knew That Once""  Multi-Media, Dance/Theater Performance",dance,dance,02/06/2012,01/05/2012,successful,7044,7000,32,2012,Q3,0.006285714
3095,"""Ice: Dance"" ITNY's Home Season Gala",dance,dance,27/10/2013,04/10/2013,successful,11253.77,11000,23,2013,Q2,0.02307
640,"""IdEgo"" 20th anniversary season",dance,dance,31/12/2010,05/11/2010,successful,10529,10000,56,2010,Q4,0.0529
808,"""Imperfect Sentiments"" - TRU dance Project Dance Company",dance,dance,22/12/2013,22/11/2013,successful,1171,1000,30,2013,Q2,0.171
2849,"""In a Nutshell; Welcome to New York Suite-y""",performances,dance,28/10/2014,28/09/2014,successful,3094,3000,30,2014,Q2,0.031333333
487,"""Inscribed"" at Kansas City Public Library",performances,dance,04/08/2017,20/07/2017,successful,1440,1200,15,2017,Q1,0.2
3429,"""Just Breathe""",performances,dance,15/04/2015,15/03/2015,successful,5151,5000,31,2015,Q3,0.0302
280,"""Kiss Me I'M Famous"" Dance Single by Christopher Wauben",dance,dance,08/04/2012,09/03/2012,canceled,0,800,30,2012,Q2,NA
2089,"""LABIR INTO""",performances,dance,24/04/2015,25/03/2015,successful,2475,2000,30,2015,Q2,0.2375
3506,"""Leading Light"" an evening length dance premiering Dec. 3-6",performances,dance,26/09/2015,27/08/2015,successful,4478,3500,30,2015,Q2,0.279428571
3713,"""Lyric Suite"" for RDTE",dance,dance,10/02/2012,31/01/2012,failed,646,1500,10,2012,Q1,NA
470,"""Marie, embroidering survival"" - Caliince Dance",dance,dance,05/01/2012,01/12/2011,successful,3815,3500,35,2011,Q3,0.09
3264,"""Me & U"" Children's Fitness Academy",spaces,dance,12/10/2015,10/09/2015,failed,2200,30000,32,2015,Q3,NA
2728,"""Mind The Gap"". Flash in the Attic Dance Theatre",performances,dance,19/06/2016,04/06/2016,failed,54.82,685.2,15,2016,Q1,NA
3174,"""MOMENTS"", An evening-length work by Kareem B. Goodwin",dance,dance,16/02/2014,17/01/2014,successful,2215,2000,30,2014,Q2,0.1075
299,"""Name is Yoko"" by Ayano Elson",performances,dance,10/01/2015,11/12/2014,successful,2704,2500,30,2014,Q2,0.0816
2277,"""nowhere"" Feb 19th & 20th at BAC",dance,dance,01/02/2011,29/12/2010,successful,1295,1000,34,2010,Q3,0.295
1388,"""Off Stage/On Site"" Performance at Pry House, Civil War Site",dance,dance,03/10/2012,03/09/2012,successful,1282,1000,30,2012,Q2,0.282
3740,"""One For The Ages!""",performances,dance,26/01/2018,07/01/2018,successful,3500,3500,19,2018,Q2,0
679,"""Origami"" -Alexandra Ballet's Young People's Performance",performances,dance,25/02/2016,10/02/2016,failed,1075,7275,15,2016,Q1,NA
2519,"""other stories"" builds a set!",dance,dance,20/12/2010,16/11/2010,successful,2910,2500,34,2010,Q3,0.164
1678,"""Out of Darkness"" - A New Show in LA by Andrew WInghart",dance,dance,02/07/2013,14/06/2013,successful,7153,6000,18,2013,Q2,0.192166667
1250,"""Out Of The Shadows"" by Flexicurve",dance,dance,08/06/2013,16/05/2013,successful,5766.11,5000,23,2013,Q2,0.153222
3494,"""Paradise Lost""",dance,dance,20/04/2013,12/03/2013,successful,1799,1200,39,2013,Q3,0.499166667
3072,"""pho-Bia"" by AIM Dance Co. - Let's Take It On The Road",dance,dance,07/03/2014,05/02/2014,successful,5351,5250,30,2014,Q2,0.019238095
1301,"""Physiography"" - A Sypher Elite Dance Company Production",dance,dance,13/11/2013,19/10/2013,successful,7518,2000,25,2013,Q2,2.759
3641,"""POWER GOES"" - new dance theater by The Seldoms",dance,dance,01/01/2015,01/12/2014,successful,6920,6000,31,2014,Q3,0.153333333
479,"""PRETTY/UGLY""",dance,dance,24/04/2013,25/03/2013,successful,1270,1130,30,2013,Q2,0.123893805
1380,"""PURE Reflections"" Dance Show at a Harlem High School",dance,dance,07/04/2012,09/03/2012,successful,2310.27,2250,29,2012,Q2,0.026786667
2113,"""pUsh"" - a dance exploration by Evolving Doors Dance",dance,dance,18/04/2011,18/03/2011,successful,3283,1500,31,2011,Q3,1.188666667
633,"""Radioactive"" Burlesque",dance,dance,04/08/2013,05/07/2013,successful,298,225,30,2013,Q2,0.324444444
217,"""Red and Blue, Bitter and Sweet"", SYREN Modern Dance",performances,dance,22/12/2016,28/11/2016,successful,12506,12500,24,2016,Q2,0.00048
3346,"""ROLL OUT THE MAT!"" - DANCE FLOOR FUNDRAISER",spaces,dance,11/06/2016,09/05/2016,failed,365,2500,33,2016,Q3,NA
1046,"""Samo Pravo!"" Mannakin Theater and Dance on Tour in Serbia",dance,dance,24/03/2014,01/03/2014,failed,4155,7000,23,2014,Q2,NA
443,"""Seasons of Purpose""",performances,dance,06/03/2015,14/01/2015,failed,0,6500,51,2015,Q4,NA
1963,"""Seven in October""--A Dance Across the Ages",dance,dance,07/07/2011,28/05/2011,successful,685,600,40,2011,Q3,0.141666667
1075,"""Sharks Before Drowning"" New York City Premiere",dance,dance,02/04/2012,08/03/2012,successful,2560,2500,25,2012,Q2,0.024
467,"""siGHt"", an original dance opera by Kimmie & Enoch Chan",dance,dance,01/09/2011,18/07/2011,successful,8422.77,7500,45,2011,Q3,0.123036
844,"""So I Married Abraham Lincoln..."" Goes To Portland, OR!",dance,dance,19/06/2012,30/05/2012,successful,3815,3500,20,2012,Q2,0.09
2169,"""Solo Una Banana/Just One Banana""- A Community Dance Project",performances,dance,13/06/2016,06/06/2016,successful,1584,1200,7,2016,Q1,0.32
1182,"""Sponsor a Dancer"": After School Dance for High School Students in San Diego",dance,dance,03/08/2010,02/07/2010,successful,2542.66,2000,32,2010,Q3,0.27133
2299,"""Subject To Change."" A site-specific outdoor dance piece.",dance,dance,07/06/2013,08/05/2013,successful,2676.5,2500,30,2013,Q2,0.0706
