"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"1","CMUK. Shoes: Take on Life Feet First.","fashion","fashion",2013-12-30,2013-11-25,"successful",34268,20000,35,"2013","Q3",0.7134
"2","MikeyJ clothing brand fundraiser","childrenswear","fashion",2017-09-07,2017-08-08,"failed",0.81,2026.1,30,"2017","Q2",NA
"3","Fashion removeable decoration jewel accessory hells shoes","accessories","fashion",2016-10-13,2016-09-13,"failed",150.73,13202.34,30,"2016","Q2",NA
"4","""It's Complicated"" by Ariana Salome","ready-to-wear","fashion",2016-06-09,2016-05-10,"failed",0,68000,30,"2016","Q2",NA
"5","ANVIL Beard","fashion","fashion",2015-02-06,2014-12-15,"failed",93.44,3063.58,53,"2014","Q4",NA
"6","The Locals Only Shirt","fashion","fashion",2012-05-18,2012-05-01,"successful",754.82,500,17,"2012","Q2",0.50964
"7","Bold Threadz","fashion","fashion",2012-09-20,2012-08-02,"successful",5858,5400,49,"2012","Q4",0.0848148148148148
"8","Happy Fix USA","apparel","fashion",2014-10-01,2014-08-17,"successful",1805,1750,45,"2014","Q3",0.0314285714285714
"9","#NotMyPresident Protest Tees","apparel","fashion",2016-12-22,2016-11-22,"failed",25,2500,30,"2016","Q2",NA
"10","Packable, Fashionable & Protective; the ULTIMATE sun hat.","fashion","fashion",2014-06-07,2014-05-01,"successful",91003.67,36000,37,"2014","Q3",1.52787972222222
"11","Wildlife Inspired T-Shirts; Help Me To Help Wildlife","apparel","fashion",2017-07-31,2017-07-06,"failed",19.72,262.92,25,"2017","Q2",NA
"12","Tofu: Stylish T-Shirts that are Made by Freedom","apparel","fashion",2015-08-10,2015-07-22,"successful",23079,3000,19,"2015","Q2",6.693
"13","CLOTHING LABEL WITH A 90's STATE OF MIND - MADE IN FRANCE","apparel","fashion",2016-12-18,2016-11-18,"successful",3944.43,3432.57,30,"2016","Q2",0.149118590443895
"14","Design Your Own Leatherjacket","fashion","fashion",2016-06-14,2016-05-29,"successful",2282.32,2250.81,16,"2016","Q2",0.0139994046587674
"15","Sanfilippo Wing it!","accessories","fashion",2016-06-26,2016-05-15,"failed",952.04,11134.99,42,"2016","Q3",NA
"16","DOME Shades: Sunglasses for Big Heads","accessories","fashion",2015-03-31,2015-02-25,"failed",3238,10000,34,"2015","Q3",NA
"17","Survyval Breakthrough Hoodie","apparel","fashion",2017-07-01,2017-05-22,"failed",1.14,22824.02,40,"2017","Q3",NA
"18","MAB MINDZ AT SOUND SET 2014","apparel","fashion",2014-05-09,2014-04-22,"failed",247,1500,17,"2014","Q2",NA
"19","It belongs to the world: Ackermann's Repository of Arts!","fashion","fashion",2013-07-05,2013-06-05,"failed",0,5000,30,"2013","Q2",NA
"20","Sasha's Fashion Show - Spectacle","fashion","fashion",2014-03-21,2014-03-03,"successful",2190,1750,18,"2014","Q2",0.251428571428571
"21","Baby Boom Baby Bag","fashion","fashion",2013-09-28,2013-08-28,"failed",447.8,2407.55,31,"2013","Q3",NA
"22","I Am Pro-movement:","apparel","fashion",2016-02-15,2015-12-17,"failed",1591,20000,60,"2015","Q4",NA
"23","Fatnek Clothing Sublimation Series of T-shirts.","fashion","fashion",2013-08-01,2013-07-02,"failed",209.1,909.15,30,"2013","Q2",NA
"24","Wholesters- A new way to Whold your things!","fashion","fashion",2011-05-29,2011-04-29,"successful",566,1,30,"2011","Q2",565
"25","Lazy Glamour: Eco-Underwear - soft, sustainable, and US-made","fashion","fashion",2014-04-17,2014-03-18,"failed",1034,20000,30,"2014","Q2",NA
