"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"1","Monarch Espresso Bar","restaurants","food",2016-04-01,2016-02-26,"successful",52375,50000,35,"2016","Q3",0.0475
"2","Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co","food","food",2014-12-21,2014-12-01,"successful",1205,1000,20,"2014","Q2",0.205
"3","Chaser Strips. Our Strips make Shots their B*tch!","drinks","food",2016-03-17,2016-02-01,"failed",453,25000,45,"2016","Q3",NA
"4","Boco Tea","food","food",2012-06-02,2012-05-03,"failed",1781,5000,30,"2012","Q2",NA
"5","Mountain brew: A quest for alcohol sustainability","drinks","food",2015-02-25,2015-01-26,"failed",6.29,65.55,30,"2015","Q2",NA
"6","Daily Brew Coffee","food trucks","food",2015-03-31,2015-03-01,"failed",31.09,5181.12,30,"2015","Q2",NA
"7","Hot Chicken Takes Over.","restaurants","food",2014-10-16,2014-09-16,"successful",63401,40000,30,"2014","Q2",0.585025
"8","Mobile barbecue & catering trailer","food trucks","food",2014-10-23,2014-09-24,"failed",1,13750,29,"2014","Q2",NA
"9","HIIT Bottle™","drinks","food",2015-04-27,2015-03-13,"successful",124998,15000,45,"2015","Q3",7.3332
"10","Babe Ruth's Family Kitchen - Gourmet Hot Dogs and Condiments","food","food",2015-10-13,2015-09-08,"canceled",0,25000,35,"2015","Q3",NA
"11","My Coffee Box","drinks","food",2014-06-16,2014-05-17,"failed",1027,3000,30,"2014","Q2",NA
"12","New Lasagna","restaurants","food",2014-10-17,2014-08-18,"failed",0,5000,60,"2014","Q4",NA
"13","""Eat Like A Gilmore"" Cookbook","cookbooks","food",2016-04-17,2016-03-14,"successful",47273,20000,34,"2016","Q3",1.36365
"14","Mama's Meatballs","food","food",2014-08-07,2014-07-08,"failed",0,100,30,"2014","Q2",NA
"15","SERiNO'S PiZZA ROLLiNG PiZZA LAB (Food Truck)","food trucks","food",2014-09-30,2014-09-01,"failed",0,20000,29,"2014","Q2",NA
"16","Strawberry Fields Café and Patisserie","food","food",2017-01-23,2016-12-01,"failed",0,38112.66,53,"2016","Q4",NA
"17","Alaska Bug Bites, LLC - Farmers Markets Launch","vegan","food",2017-04-01,2017-02-22,"successful",2164.77,2000,38,"2017","Q3",0.082385
"18","Uptown Juice Company: Local, cold-pressed goodness","food","food",2014-04-01,2014-02-25,"successful",30066,25000,35,"2014","Q3",0.20264
"19","Funky Grits - fast casual diner pairing music with the menu!","restaurants","food",2015-10-01,2015-09-03,"failed",1600,1e+05,28,"2015","Q2",NA
"20","Made From Scratch","restaurants","food",2015-08-31,2015-08-01,"failed",0,25000,30,"2015","Q2",NA
"21","BrewStick ~ carboy ruler","food","food",2014-03-24,2014-02-22,"failed",50,22500,30,"2014","Q2",NA
"22","Hood's Up Brewery","drinks","food",2015-06-21,2015-05-15,"failed",12024,28000,37,"2015","Q3",NA
"23","The Farmer, the Bean and the Holy Roast","food","food",2013-02-21,2013-01-22,"failed",1278,3500,30,"2013","Q2",NA
"24","The Great Apple Pie","farmer's markets","food",2014-08-15,2014-07-16,"failed",5.5,13.76,30,"2014","Q2",NA
"25","The Great Fly Cup Bake Off","events","food",2015-09-08,2015-08-09,"successful",524.38,385.58,30,"2015","Q2",0.359977177239483
"26","Food truck for the world.","food trucks","food",2015-09-15,2015-08-31,"failed",0,2000,15,"2015","Q1",NA
"27","Daweyu Hills – Crop to Cup","drinks","food",2015-10-15,2015-09-15,"successful",25816,25000,30,"2015","Q2",0.03264
"28","Peak View Brewing Company","drinks","food",2016-10-10,2016-09-10,"successful",15018,15000,30,"2016","Q2",0.0012
"29","WOOD FIRED OVEN FOR OUR GROWING COMMUNITY","spaces","food",2015-11-21,2015-10-22,"failed",195.73,21159.99,30,"2015","Q2",NA
"30","Spicing it Up at Whipped & Beaten Culinary Works","food","food",2013-03-21,2013-02-19,"successful",3712,2500,30,"2013","Q2",0.4848
"31","Black Knight Brick Built BBQ Grill","food","food",2014-10-09,2014-08-25,"failed",0,24051.18,45,"2014","Q3",NA
"32","Flyover Farm","food","food",2012-05-07,2012-04-16,"successful",6510,5500,21,"2012","Q2",0.183636363636364
"33","Yemanja Caribbean Restaurant, Bar, and Hostel","food","food",2012-09-21,2012-08-22,"successful",16656,15000,30,"2012","Q2",0.1104
"34","Help Momma Root's Bake Shop Make The Big Move!","small batch","food",2017-06-30,2017-05-31,"canceled",275,5500,30,"2017","Q2",NA
"35","Starting A Herb Garden","food","food",2014-11-22,2014-10-23,"failed",0,3835.01,30,"2014","Q2",NA
"36","Blakes Burgers","restaurants","food",2015-04-29,2015-03-30,"failed",0,25000,30,"2015","Q2",NA
"37","To Develop A New Worlds Hottest Chilli.","community gardens","food",2015-10-29,2015-09-29,"failed",38.98,637.89,30,"2015","Q2",NA
"38","Agrandissement de la brasserie","drinks","food",2016-04-08,2016-03-09,"successful",4009.53,2403.42,30,"2016","Q2",0.668260229173428
"39","a restaurant going against the grain in colchester essex","restaurants","food",2016-06-06,2016-05-07,"successful",16261.68,14403.62,30,"2016","Q2",0.128999515399601
"40","Bull & Dragon's Pop-Up Restaurant Project","food","food",2013-09-07,2013-07-29,"failed",596,34000,40,"2013","Q3",NA
"41","Barry County Milk","farms","food",2014-09-21,2014-08-12,"failed",5,5e+05,40,"2014","Q3",NA
"42","Top Chefs Opening Shakewell Bar & Kitchen!","food","food",2013-08-22,2013-07-23,"successful",102937,1e+05,30,"2013","Q2",0.02937
"43","Bona Dea Gluten Free Goodness","food","food",2012-02-01,2011-12-22,"successful",8540,8000,41,"2011","Q3",0.0675
"44","REST STOP & RESTAURANT","restaurants","food",2015-06-02,2015-05-05,"failed",0.8,120000,28,"2015","Q2",NA
"45","The Panini Company","restaurants","food",2016-03-18,2016-02-17,"failed",4.35,398394.83,30,"2016","Q2",NA
"46","PowerBark-""Meal on the Run for the Dog on the Go""","food","food",2014-06-13,2014-05-14,"failed",2186,5000,30,"2014","Q2",NA
"47","Vanilley Bean Treats! For life's ""sweet"" moments!","food","food",2012-12-25,2012-11-20,"failed",100,1500,35,"2012","Q3",NA
"48","The Wheelhouse: A Farm to Table Restaurant in St Joseph IL","restaurants","food",2016-09-15,2016-08-16,"successful",10205,10000,30,"2016","Q2",0.0205
"49","Seth's Pineapple Mango Salsa","vegan","food",2014-12-31,2014-11-27,"failed",125,5000,34,"2014","Q3",NA
"50","I Can't Believe It's Not Potato Salad ! (Canceled)","cookbooks","food",2014-08-10,2014-07-11,"canceled",20.03,16.69,30,"2014","Q2",0.200119832234871
"51","Cat Cafe Mad: Coffee Shop Remodel & Expansion & Real Food","spaces","food",2017-06-19,2017-05-19,"successful",10752,9500,31,"2017","Q3",0.131789473684211
"52","An Above Average Grilled Cheese","bacon","food",2014-08-09,2014-07-10,"failed",0,20,30,"2014","Q2",NA
"53","Sandia Creek Sustainable Farms & Community Support Project","community gardens","food",2016-06-11,2016-05-12,"canceled",120,175000,30,"2016","Q2",NA
"54","Maltese Brewing Company","drinks","food",2015-03-01,2015-01-30,"successful",10164,10000,30,"2015","Q2",0.0164
"55","Corey’s Coffee Bar","food","food",2013-02-22,2013-01-23,"failed",10,6000,30,"2013","Q2",NA
"56","Parthia Saffron - To your door one thread @ a time!","small batch","food",2014-08-07,2014-07-16,"failed",105.35,3664.35,22,"2014","Q2",NA
"57","Mango, Pineapple & Habanero Toe Curling HOT Lava Sauce","small batch","food",2017-02-02,2016-12-19,"failed",635,3000,45,"2016","Q3",NA
"58","Press Start Bar","drinks","food",2014-06-02,2014-05-03,"failed",18483,50000,30,"2014","Q2",NA
"59","Give in to Sweet Surrender","small batch","food",2015-02-18,2015-01-19,"failed",100,5000,30,"2015","Q2",NA
"60","Bringing Patrizi's Back: A family food truck experience","food","food",2013-03-02,2013-01-25,"successful",40062,30000,36,"2013","Q3",0.3354
"61","Go Mobile Drool Central","food trucks","food",2016-04-02,2016-03-03,"failed",1708,25000,30,"2016","Q2",NA
"62","The Secret Tomato Project","farms","food",2015-08-06,2015-07-30,"successful",1531,1000,7,"2015","Q1",0.531
"63","Bondurant Brothers Distillery","drinks","food",2014-11-04,2014-10-05,"failed",750,20000,30,"2014","Q2",NA
"64","Finish El Toro The Tot Food Trailer!!","food","food",2013-04-28,2013-03-29,"successful",28036,28000,30,"2013","Q2",0.00128571428571429
"65","WANTED: THE BEST TASTING FUDGE ON EARTH (Canceled)","food","food",2014-12-16,2014-10-17,"canceled",0,654.34,60,"2014","Q4",NA
"66","Artisan Vinegar","vegan","food",2017-06-08,2017-05-09,"failed",149,3000,30,"2017","Q2",NA
"67","Spread the Love","food","food",2014-10-08,2014-09-08,"failed",0,7000,30,"2014","Q2",NA
"68","The Dousing Sauce Story","food","food",2015-06-01,2015-04-08,"failed",100,25000,54,"2015","Q4",NA
"69","Napa Valley Private Label Wine","drinks","food",2015-07-15,2015-06-15,"failed",476,25000,30,"2015","Q2",NA
"70","A pot of coffee","drinks","food",2014-08-09,2014-07-10,"successful",11,10,30,"2014","Q2",0.1
"71","GRITS on wheels in Los Angeles! Ya'll come an get it!","food trucks","food",2016-08-24,2016-07-25,"failed",1190,15000,30,"2016","Q2",NA
"72","tipstir","food","food",2011-08-14,2011-07-15,"failed",0,1000,30,"2011","Q2",NA
"73","Lucky's","food trucks","food",2015-09-09,2015-08-09,"failed",460,5000,31,"2015","Q3",NA
"74","Sticky Boo Yum Yum | All Things Marshmallow","food","food",2013-10-29,2013-09-29,"failed",570,2350,30,"2013","Q2",NA
"75","Martin Persil, la cantine vegan à roulettes !","vegan","food",2016-02-15,2016-01-11,"successful",10177.2,8321.96,35,"2016","Q3",0.222933059038977
"76","Funding a Veterans second chance","food trucks","food",2015-01-23,2014-11-24,"failed",30,60000,60,"2014","Q4",NA
"77","Yakana","drinks","food",2017-05-16,2017-04-06,"successful",5501.07,5339.03,40,"2017","Q3",0.0303500823183237
"78","WarmUp: A High-Protein Coffee","drinks","food",2016-12-14,2016-11-14,"successful",8599,8000,30,"2016","Q2",0.074875
"79","Oh, Fudge!","food","food",2011-11-16,2011-09-17,"failed",1440.55,5000,60,"2011","Q4",NA
"80","Have your Cake and Eat it too!","food","food",2016-12-05,2016-11-05,"canceled",0,10000,30,"2016","Q2",NA
"81","Coffee With A Purpose","drinks","food",2015-12-09,2015-11-09,"successful",15130,14500,30,"2015","Q2",0.043448275862069
"82","YumElish SkinEdips - Gourmet Bean Dips (Canceled)","vegan","food",2015-12-07,2015-10-08,"canceled",725,15000,60,"2015","Q4",NA
"83","Nourish Roshambo","food","food",2013-06-15,2013-05-16,"failed",600,4500,30,"2013","Q2",NA
"84","100% pure chicken breast jerky treats PETS","small batch","food",2015-09-26,2015-08-27,"failed",47,6500,30,"2015","Q2",NA
"85","Hydrosis Hydroponics","community gardens","food",2016-05-04,2016-04-04,"failed",2,20000,30,"2016","Q2",NA
"86","Blue Haus Grill","food","food",2014-04-10,2014-03-11,"failed",100,3000,30,"2014","Q2",NA
"87","Silver Pickle, a food trailer","food trucks","food",2015-06-11,2015-05-21,"successful",3326,3000,21,"2015","Q2",0.108666666666667
"88","Scoop Sights Dairy-Free Ice Cream in stores near you!","vegan","food",2015-12-09,2015-11-09,"successful",13095,12000,30,"2015","Q2",0.09125
