"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"1","The Chelsea Chronicle Podcast","audio","journalism",2017-02-24,2017-01-25,"failed",423.72,12554.61,30,"2017","Q2",NA
"2","The Book of Maxwell","print","journalism",2017-08-07,2017-07-12,"successful",1804,1500,26,"2017","Q2",0.202666666666667
"3","Occupy the Left Forum Zine","journalism","journalism",2012-04-12,2012-03-13,"failed",227,1287,30,"2012","Q2",NA
"4","ThailandMike No.1, Portfolio, hiccup tour guide & Sketchbook","journalism","journalism",2016-05-17,2016-04-16,"successful",3184,2500,31,"2016","Q3",0.2736
"5","How I Got Beat-Up By The FBI When I Was Four Years Old","print","journalism",2014-12-19,2014-11-19,"failed",6,160,30,"2014","Q2",NA
"6","Urban Diverse Podcast","journalism","journalism",2017-02-04,2016-12-16,"canceled",1,500,50,"2016","Q4",NA
"7","Pollock l’acchiappa-panzane","video","journalism",2015-08-01,2015-06-30,"successful",12600.78,10941.04,32,"2015","Q3",0.151698558820734
"8","The MagPi Magazine - From Virtual to Reality","journalism","journalism",2012-12-31,2012-11-29,"successful",47377.46,9611.23,32,"2012","Q3",3.92938572898578
"9","Epic Backpacking Dynasty: The Global Millennial Revolution","web","journalism",2014-08-17,2014-07-18,"failed",0,110000,30,"2014","Q2",NA
"10","Maori MBT Awareness Centre","web","journalism",2017-10-18,2017-08-19,"failed",1794.46,1600768.37,60,"2017","Q4",NA
"11","For Love of Libya","journalism","journalism",2011-11-14,2011-09-18,"successful",2095,2000,57,"2011","Q4",0.0475
"12","DSW74NEWS LIVE BROADCASTING","journalism","journalism",2016-09-14,2016-08-10,"canceled",0,15000,35,"2016","Q3",NA
"13","ChileFornia- An anecdotal view of identity, immigration & diversity","journalism","journalism",2010-10-30,2010-08-18,"failed",0,8000,73,"2010","Q4",NA
"14","Keepers of the Kingdom","photo","journalism",2014-10-03,2014-09-03,"failed",2537.87,16869.64,30,"2014","Q2",NA
"15","Survey for a Change","web","journalism",2015-03-07,2015-01-06,"failed",0,3926.5,60,"2015","Q4",NA
"16","The Life Story Project","print","journalism",2014-11-03,2014-10-04,"failed",100,2500,30,"2014","Q2",NA
"17","Exposing offshore Britain","web","journalism",2016-10-30,2016-10-05,"failed",281.05,624.55,25,"2016","Q2",NA
"18","The Voices of La Union - A Farming Rust Foundation Project","video","journalism",2014-08-14,2014-07-15,"failed",1586,10000,30,"2014","Q2",NA
"19","The Happy Newspaper","print","journalism",2015-10-08,2015-09-08,"successful",2115.32,766.98,30,"2015","Q2",1.75798586664581
"20","The MATWORLD Show- Atlantic City Talk Radio With Passion","audio","journalism",2016-02-24,2016-01-25,"failed",126,12500,30,"2016","Q2",NA
