"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"1","""THE RETURN"" book project","photography","photography",2013-12-13,2013-11-13,"successful",23907,15000,30,"2013","Q2",0.5938
"2","H2O The Underwater Portraits","people","photography",2017-10-30,2017-09-25,"failed",6,9500,35,"2017","Q3",NA
"3","A Teacher's Travels in China","photography","photography",2012-05-13,2012-04-18,"successful",4866.17,4000,25,"2012","Q2",0.2165425
"4","A photobook of life in Japan","photography","photography",2013-03-14,2013-02-12,"failed",568,3200,30,"2013","Q2",NA
"5","Calendars for Cats","photobooks","photography",2015-12-29,2015-11-29,"failed",95,1000,30,"2015","Q2",NA
"6","Jenny's Photography - Start own business and travel!!","fine art","photography",2014-08-29,2014-07-30,"failed",16.58,829.12,30,"2014","Q2",NA
"7","Tye's Photographic Journey.","people","photography",2015-12-12,2015-11-12,"failed",0,2500,30,"2015","Q2",NA
"8","The JANIS JOPLIN Project (Canceled)","photography","photography",2012-08-21,2012-07-10,"canceled",75,11000,42,"2012","Q3",NA
"9","American Confines vol 1: Cincinnati in 52","photobooks","photography",2016-07-20,2016-06-20,"failed",656,17500,30,"2016","Q2",NA
"10","Thailand country side","photography","photography",2014-10-25,2014-08-26,"failed",35,17000,60,"2014","Q4",NA
"11","The McKenzie Project","photography","photography",2017-06-01,2017-04-17,"successful",1364.34,369.74,45,"2017","Q3",2.68999837723806
"12","Project World","photography","photography",2014-04-30,2014-03-26,"failed",42.19,33751.86,35,"2014","Q3",NA
"13","Publishing The Occupy Portraits","photography","photography",2014-07-09,2014-05-10,"failed",10820,60000,60,"2014","Q4",NA
"14","Scar Tissue","photography","photography",2011-07-24,2011-06-09,"successful",6022,6000,45,"2011","Q3",0.00366666666666667
"15","TULIPS","photobooks","photography",2014-12-19,2014-11-12,"successful",18625,18000,37,"2014","Q3",0.0347222222222222
"16","Daily Bread: Stories from Rural Greece","photobooks","photography",2015-03-19,2015-02-17,"successful",10290,10000,30,"2015","Q2",0.029
"17","Bailey the Golden Retriever Calendar","animals","photography",2014-12-11,2014-11-25,"failed",797,3000,16,"2014","Q2",NA
"18","Unmasking Mental Health Photographic Project (Canceled)","photography","photography",2013-05-16,2013-03-27,"canceled",0,457.02,50,"2013","Q4",NA
"19","Splendid Entities: The Catalog Project","photography","photography",2010-08-20,2010-07-05,"successful",4331,2500,46,"2010","Q4",0.7324
"20","Day X","photobooks","photography",2016-12-20,2016-11-22,"successful",2754.88,2449.87,28,"2016","Q2",0.124500483699135
"21","One Day at a Time: 365 Days of Photographs","photography","photography",2013-07-03,2013-06-03,"failed",1890,10850,30,"2013","Q2",NA
"22","Wade in the Water Gallery","fine art","photography",2014-06-30,2014-06-03,"failed",15,2000,27,"2014","Q2",NA
"23","The Creative Community","photography","photography",2010-08-15,2010-06-14,"failed",1632,3500,62,"2010","Q4",NA
"24","Unique Collage's","photography","photography",2015-03-12,2015-02-10,"failed",0,5000,30,"2015","Q2",NA
"25","Entertain Us - The Photobook by Lois Golding","photobooks","photography",2015-05-23,2015-04-23,"successful",2395.41,2288.61,30,"2015","Q2",0.0466658801630683
"26","Seeing Swiss: Pictures, People, and a World of Engineering","places","photography",2014-12-18,2014-11-18,"successful",985,700,30,"2014","Q2",0.407142857142857
"27","Cemetery Angels - A Photographic Book","photobooks","photography",2015-11-25,2015-10-26,"failed",300,3000,30,"2015","Q2",NA
"28","Esperanza: A Gang Intervention (Photo Documentary)","people","photography",2016-05-06,2016-04-06,"successful",14006,6000,30,"2016","Q2",1.33433333333333
"29","Sol McNally Photography","people","photography",2015-10-17,2015-09-17,"failed",2,2000,30,"2015","Q2",NA
"30","Off the beaten track","photography","photography",2015-04-21,2015-03-07,"failed",1.51,90716.66,45,"2015","Q3",NA
"31","Traditional Astrophotography: A window to Cygnus","photography","photography",2012-03-25,2012-02-09,"successful",3053,2000,45,"2012","Q3",0.5265
"32","Famous Paintings - a tribute to another art form (Canceled)","photography","photography",2012-06-01,2012-04-02,"canceled",0,10000,60,"2012","Q4",NA
"33","Life & Career Changing Dream Camera Goal!","photography","photography",2015-03-01,2015-01-30,"failed",50,2000,30,"2015","Q2",NA
"34","Veterans","photography","photography",2012-08-15,2012-07-09,"successful",5637,5000,37,"2012","Q3",0.1274
"35","Oh When The Blues - Oldham Athletic Photography Book","photobooks","photography",2016-12-04,2016-11-06,"successful",3083.38,2767.61,28,"2016","Q2",0.114094832725709
"36","Model T Tintypes","photography","photography",2012-04-01,2012-03-01,"failed",1211,24850,31,"2012","Q3",NA
"37","Picture Their Faces Photo Booth: Bringing smiles to all!","photography","photography",2014-08-08,2014-07-09,"failed",0,1500,30,"2014","Q2",NA
"38","The Beauty of the Manson ""Villa Reale di Monza"" (Italy)","photobooks","photography",2017-07-02,2017-05-03,"failed",473.6,10270.81,60,"2017","Q4",NA
"39","Albumen Portraits","photography","photography",2013-02-22,2013-01-23,"failed",12.5,1250,30,"2013","Q2",NA
"40","Sanctuary/Purgatory Book","fine art","photography",2016-07-01,2016-06-01,"failed",0,250,30,"2016","Q2",NA
"41","Beauty in the Dark","fine art","photography",2016-08-08,2016-07-24,"failed",0,10000,15,"2016","Q1",NA
"42","South of Here: Photographs of Louisiana and the Gulf Coast","photography","photography",2012-08-18,2012-07-24,"successful",5164.09,4000,25,"2012","Q2",0.2910225
"43","Perspectives Foundation","people","photography",2015-07-21,2015-05-22,"failed",145.3,50853.61,60,"2015","Q4",NA
"44","Horse Photography, Stock Photography and Love for my mom.","animals","photography",2015-06-25,2015-05-26,"failed",0,4043.67,30,"2015","Q2",NA
"45","Digital Kirlian Photography Book","photography","photography",2012-08-16,2012-06-17,"failed",491,1000,60,"2012","Q4",NA
"46","Occupied Pleasures a Photo Book by Tanya Habjouqa","photobooks","photography",2015-02-25,2015-01-25,"successful",38206,21150,31,"2015","Q3",0.806430260047281
"47","Pleasant Valley photography","photography","photography",2014-11-27,2014-10-28,"failed",25,1e+05,30,"2014","Q2",NA
"48","Body Beautiful","photography","photography",2013-10-21,2013-09-21,"failed",262,9000,30,"2013","Q2",NA
"49","An Aesthetic Ethnography: The Land of Smiles","people","photography",2014-05-29,2014-04-29,"failed",80,2500,30,"2014","Q2",NA
"50","Help Me Change My Life & Become a Professional Photographer!","photography","photography",2014-08-16,2014-07-17,"failed",0,49732.27,30,"2014","Q2",NA
"51","Great Grandparents of the United States","photography","photography",2010-10-08,2010-09-08,"failed",445,8000,30,"2010","Q2",NA
"52","Beautiful Women Of Toronto","people","photography",2015-06-26,2015-05-27,"failed",1213.1,16174.69,30,"2015","Q2",NA
"53","Getting the Art to the Gallery","photography","photography",2012-05-03,2012-04-03,"failed",20,1200,30,"2012","Q2",NA
"54","Interactions - the book","photobooks","photography",2016-05-12,2016-04-22,"successful",1709.01,1702.2,20,"2016","Q2",0.00400070497003874
"55","Explore Moldova through Photos","photography","photography",2013-02-12,2013-01-16,"failed",36,3000,27,"2013","Q2",NA
"56","Brazil Revisited: Photographing São Paulo","photography","photography",2012-08-31,2012-07-31,"failed",0,7500,31,"2012","Q3",NA
"57","Een integer fotoboek van vrouwen en mannen met borstkanker","photobooks","photography",2014-07-19,2014-06-17,"failed",290.3,12767.96,32,"2014","Q3",NA
"58","MAN ON THE MOON exhibit at Space Center Houston","photography","photography",2012-10-12,2012-09-12,"failed",10896,30000,30,"2012","Q2",NA
"59","Autant de Montréalais","fine art","photography",2017-05-30,2017-03-31,"failed",7.39,7394.81,60,"2017","Q4",NA
"60","Journey to Jacmel: A Photo Project with Heart","fine art","photography",2014-11-01,2014-09-28,"successful",3784,3500,34,"2014","Q3",0.0811428571428571
"61","Island Of Mull","photography","photography",2017-02-27,2017-01-28,"successful",183.52,122.34,30,"2017","Q2",0.500081739414746
"62","The Santa Series","people","photography",2016-10-03,2016-09-03,"failed",0,500,30,"2016","Q2",NA
"63","A Better Tool for Best Prints","photography","photography",2010-03-15,2009-12-22,"failed",0,2000,83,"2009","Q4",NA
"64","Seize the day","photography","photography",2014-12-09,2014-11-09,"failed",201,5000,30,"2014","Q2",NA
"65","Photography Book - Olympic National Park","photography","photography",2012-09-08,2012-08-09,"failed",200,15000,30,"2012","Q2",NA
"66","FotoOps Creative Photographer and Videographer Platform","photography","photography",2017-12-10,2017-10-26,"failed",1074,43000,45,"2017","Q3",NA
"67","WHERE IS THE WORLD","photobooks","photography",2014-12-12,2014-11-19,"failed",2433.43,7854.84,23,"2014","Q2",NA
