"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"1","Alice in Wonderland in G Minor","theater","theater",2014-06-15,2014-05-16,"failed",650,3500,30,"2014","Q2",NA
"2","Pantochino Productions: ""Cinderella Skeleton, the Musical""","theater","theater",2011-07-08,2011-05-09,"successful",15425,15000,60,"2011","Q4",0.0283333333333333
"3","Secular Solstice 2014","festivals","theater",2014-10-27,2014-10-02,"successful",8157.01,7500,25,"2014","Q2",0.0876013333333334
"4","The Onrust Project and Two Row Treaty of 1613","theater","theater",2013-06-16,2013-04-17,"failed",110,5000,60,"2013","Q4",NA
"5","""Little Shop of Horrors"" at the Browncoat Theatre!","theater","theater",2012-08-14,2012-06-30,"successful",2075,2000,45,"2012","Q3",0.0375
"6","Adele's Heart is Going to Edinburgh","theater","theater",2012-06-18,2012-05-14,"successful",8315,7500,35,"2012","Q3",0.108666666666667
"7","Chasing Blue at The Trans Theatre Festival","festivals","theater",2016-06-01,2016-04-29,"successful",4813,4000,33,"2016","Q3",0.20325
"8","Tugboat Collective's Inaugural Season","theater","theater",2012-10-11,2012-09-12,"successful",10046,9000,29,"2012","Q2",0.116222222222222
"9","Heroes And Other Strangers at FringeNYC","theater","theater",2011-07-02,2011-05-30,"successful",2308.5,1971,33,"2011","Q3",0.171232876712329
"10","Blak.Woman.Dynamik-ReBoRn","theater","theater",2012-02-07,2011-12-24,"failed",1810,6500,45,"2011","Q3",NA
"11","Rock The Audition-In Concert/Sheri Sanders","theater","theater",2011-09-27,2011-09-02,"failed",0,5000,25,"2011","Q2",NA
"12","Profound Fatigue, produced by Flying Deer Theater (revised)","theater","theater",2011-06-11,2011-05-12,"successful",1010,900,30,"2011","Q2",0.122222222222222
"13","Da-dome Roller Skating Rink of Brooklyn New York","festivals","theater",2015-08-10,2015-07-11,"failed",0,3e+05,30,"2015","Q2",NA
"14","Dos Pueblos Tecnicos","experimental","theater",2014-09-02,2014-08-23,"successful",500,500,10,"2014","Q1",0
"15","We Did It For You! - a historical musical (Canceled)","theater","theater",2011-10-21,2011-09-21,"canceled",630,21500,30,"2011","Q2",NA
"16","Shakespeare!! To fund or not to fund, that is the Question?","plays","theater",2015-04-11,2015-03-12,"successful",251,250,30,"2015","Q2",0.004
"17","Orillia Summer Theatre 2016","theater","theater",2016-03-31,2016-02-21,"successful",855.85,844.34,39,"2016","Q3",0.0136319492147713
"18","Love. Guts. High School.","theater","theater",2012-04-16,2012-03-13,"successful",2667,2500,34,"2012","Q3",0.0668
"19","Might As Well Live: Dorothy Parker Does Hollywood Fringe","plays","theater",2015-06-03,2015-05-02,"successful",4656,3000,32,"2015","Q3",0.552
"20","MargOH! in ""What makes a legend drink more? London Style""","theater","theater",2010-12-21,2010-10-31,"failed",110,1200,51,"2010","Q4",NA
"21","Broadway Comes To Denver: Scholarship fund","theater","theater",2010-04-03,2010-01-03,"successful",3661,3600,90,"2010","Q4",0.0169444444444444
"22","Code name: Interstellar (Canceled)","festivals","theater",2016-05-03,2016-03-04,"canceled",0,3e+06,60,"2016","Q4",NA
"23","The ODYSSEY by Homer - Amazing Youth Actors, Giant Puppets!","theater","theater",2013-02-22,2013-02-08,"successful",2752,2700,14,"2013","Q1",0.0192592592592593
"24","The Conservative Theatre Festival: Columbus, OH, 1/7/17","festivals","theater",2016-07-31,2016-07-01,"failed",11,1200,30,"2016","Q2",NA
"25","Los Angeles Women's Theatre Festival - 24th Anniversary!","theater","theater",2017-01-14,2016-11-30,"successful",10196.5,10000,45,"2016","Q3",0.01965
"26","Daniel: an Ordinary Tragedy: a new musical","musical","theater",2015-05-04,2015-03-29,"successful",1100,1000,36,"2015","Q3",0.1
"27","Rounds. Set design campaign.","plays","theater",2016-02-14,2016-02-05,"successful",1379.23,999.44,9,"2016","Q1",0.380002801568879
